decade,usa_born_winner
1900,0.017543859649122806
1910,0.075
1920,0.07407407407407407
1930,0.25
1940,0.3023255813953488
1950,0.2916666666666667
1960,0.26582278481012656
1970,0.3173076923076923
1980,0.31958762886597936
1990,0.40384615384615385
2000,0.42276422764227645
2010,0.3140495867768595
2020,0.36
